Sample,Value
924,32.08951
925,32.09871
926,32.10790
927,32.11709
928,32.12627
929,32.13545
930,32.14463
931,32.15380
932,32.16297
933,32.17214
934,32.18130
935,32.19046
936,32.19961
937,32.20876
938,32.21791
939,32.22705
940,32.23619
941,32.24532
942,32.25445
943,32.26358
944,32.27270
945,32.28182
946,32.29094
947,32.30005
948,32.30916
949,32.31826
950,32.32736
951,32.33646
952,32.34555
953,32.35464
954,32.36372
955,32.37280
956,32.38188
957,32.39095
958,32.40002
959,32.40909
960,32.41815
961,32.42721
962,32.43626
963,32.44531
964,32.45435
965,32.46340
966,32.47243
967,32.48147
968,32.49050
969,32.49952
970,32.50854
971,32.51756
972,32.52658
973,32.53559
974,32.54459
975,32.55359
976,32.56259
977,32.57159
978,32.58058
979,32.58956
980,32.59854
981,32.60752
982,32.61650
983,32.62547
984,32.63443
985,32.64339
986,32.65235
987,32.66131
988,32.67026
989,32.67920
990,32.68815
991,32.69708
992,32.70602
993,32.71495
994,32.72387
995,32.73280
996,32.74171
997,32.75063
998,32.75954
999,32.76844
1000,32.77734
1001,34.72881
1002,32.79514
1003,32.80403
1004,32.81291
1005,32.82179
1006,32.83067
1007,32.83954
1008,32.84841
1009,32.85728
1010,32.86614
1011,32.87499
1012,32.88385
1013,32.89270
1014,32.90154
1015,32.91038
1016,32.91922
1017,32.92805
1018,32.93688
1019,32.94570
1020,32.95452
1021,32.96334
1022,32.97215
1023,32.98096
1024,32.98976
1025,32.99856
1026,33.00735
1027,33.01614
1028,33.02493
1029,33.03371
1030,33.04249
1031,33.05127
1032,33.06004
1033,33.06880
1034,33.07756
1035,33.08632
1036,33.09508
1037,33.10383
1038,33.11257
1039,33.12131
1040,33.13005
1041,33.13878
1042,33.14751
1043,33.15623
1044,33.16495
1045,33.17367
1046,33.18238
1047,33.19109
1048,33.19979
1049,33.20849
1050,33.21718
1051,33.22587
1052,33.23456
1053,33.24324
1054,33.25192
1055,33.26059
1056,33.26926
1057,33.27793
1058,33.28659
1059,33.29524
1060,33.30390
1061,33.31254
1062,33.32119
1063,33.32983
1064,33.33846
1065,33.34709
1066,33.35572
1067,33.36434
1068,33.37296
1069,33.38157
1070,33.39018
1071,33.39879
1072,33.40739
1073,33.41598
1074,33.42458
1075,33.43316
1076,33.44175
1077,33.45033
1078,33.45890
1079,33.46747
1080,33.47604
1081,33.48460
1082,33.49316
1083,33.50171
1084,33.51026
1085,33.51880
1086,33.52734
1087,33.53588
1088,33.54441
1089,33.55294
1090,33.56146
1091,33.56998
1092,33.57849
1093,33.58700
1094,33.59551
1095,33.60401
1096,33.61250
1097,33.62100
1098,33.62948
1099,33.63797
1100,33.64645
1101,42.42767
1102,33.66339
1103,33.67186
1104,33.68032
1105,33.68877
1106,33.69723
1107,33.70567
1108,33.71412
1109,33.72256
1110,33.73099
1111,33.73942
1112,33.74785
1113,33.75627
1114,33.76469
1115,33.77310
1116,33.78151
1117,33.78991
1118,33.79831
1119,33.80670
1120,33.81509
1121,33.82348
1122,33.83186
1123,33.84024
1124,33.84861
1125,33.85698
1126,33.86534
1127,33.87370
1128,33.88205
1129,33.89040
1130,33.89875
1131,33.90709
1132,33.91543
1133,33.92376
1134,33.93209
1135,33.94041
1136,33.94873
1137,33.95704
1138,33.96535
1139,33.97365
1140,33.98196
1141,33.99025
1142,33.99854
1143,34.00683
1144,34.01511
1145,34.02339
1146,34.03166
1147,34.03993
1148,34.04819
1149,34.05645
1150,34.06471
1151,34.07296
1152,34.08120
1153,34.08944
1154,34.09768
1155,34.10591
1156,34.11414
1157,34.12236
1158,34.13058
1159,34.13879
1160,34.14700
1161,34.15521
1162,34.16341
1163,34.17160
1164,34.17979
1165,34.18798
1166,34.19616
1167,34.20434
1168,34.21251
1169,34.22068
1170,34.22884
1171,34.23700
1172,34.24515
1173,34.25330
1174,34.26144
1175,34.26958
1176,34.27772
1177,34.28585
1178,34.29398
1179,34.30210
1180,34.31021
1181,34.31832
1182,34.32643
1183,34.33453
1184,34.34263
1185,34.35072
1186,34.35881
1187,34.36690
1188,34.37498
1189,34.38305
1190,34.39112
1191,34.39918
1192,34.40724
1193,34.41530
1194,34.42335
1195,34.43140
1196,34.43944
1197,34.44747
1198,34.45551
1199,34.46353
1200,34.47156
1201,38.12644
1202,34.48759
1203,34.49560
1204,34.50360
1205,34.51160
1206,34.51959
1207,34.52758
1208,34.53557
1209,34.54355
1210,34.55152
1211,34.55949
1212,34.56746
1213,34.57542
1214,34.58337
1215,34.59133
1216,34.59927
1217,34.60721
1218,34.61515
1219,34.62308
1220,34.63101
1221,34.63893
1222,34.64685
1223,34.65476
1224,34.66267
1225,34.67058
1226,34.67847
1227,34.68637
1228,34.69426
1229,34.70214
1230,34.71002
1231,34.71789
1232,34.72576
1233,34.73363
1234,34.74149
1235,34.74934
1236,34.75720
1237,34.76504
1238,34.77288
1239,34.78072
1240,34.78855
1241,34.79637
1242,34.80420
1243,34.81201
1244,34.81982
1245,34.82763
1246,34.83543
1247,34.84323
1248,34.85102
1249,34.85881
1250,34.86659
1251,34.87437
1252,34.88214
1253,34.88991
1254,34.89767
1255,34.90543
1256,34.91318
1257,34.92093
1258,34.92867
1259,34.93641
1260,34.94415
1261,34.95187
1262,34.95960
1263,34.96732
1264,34.97503
1265,34.98274
1266,34.99044
1267,34.99814
1268,35.00584
1269,35.01353
1270,35.02121
1271,35.02889
1272,35.03656
1273,35.04423
1274,35.05190
1275,35.05956
1276,35.06721
1277,35.07486
1278,35.08250
1279,35.09014
1280,35.09778
1281,35.10541
1282,35.11303
1283,35.12065
1284,35.12827
1285,35.13588
1286,35.14348
1287,35.15108
1288,35.15868
1289,35.16627
1290,35.17385
1291,35.18143
1292,35.18900
1293,35.19657
1294,35.20414
1295,35.21170
1296,35.21925
1297,35.22680
1298,35.23435
1299,35.24189
1300,35.24942
1301,28.06347
1302,35.26448
1303,35.27199
1304,35.27951
1305,35.28702
1306,35.29452
1307,35.30202
1308,35.30952
1309,35.31701
1310,35.32449
1311,35.33197
1312,35.33944
1313,35.34691
1314,35.35438
1315,35.36183
1316,35.36929
1317,35.37674
1318,35.38418
1319,35.39162
1320,35.39905
1321,35.40648
1322,35.41390
1323,35.42132
1324,35.42873
1325,35.43614
1326,35.44354
1327,35.45094
1328,35.45833
1329,35.46572
1330,35.47310
1331,35.48048
1332,35.48785
1333,35.49522
1334,35.50258
1335,35.50994
1336,35.51729
1337,35.52464
1338,35.53198
1339,35.53931
1340,35.54664
1341,35.55397
1342,35.56129
1343,35.56861
1344,35.57592
1345,35.58322
1346,35.59052
1347,35.59782
1348,35.60511
1349,35.61239
1350,35.61967
1351,35.62694
1352,35.63421
1353,35.64148
1354,35.64873
1355,35.65599
1356,35.66324
1357,35.67048
1358,35.67772
1359,35.68495
1360,35.69218
1361,35.69940
1362,35.70662
1363,35.71383
1364,35.72103
1365,35.72824
1366,35.73543
1367,35.74262
1368,35.74981
1369,35.75699
1370,35.76416
1371,35.77133
1372,35.77850
1373,35.78566
1374,35.79281
1375,35.79996
1376,35.80710
1377,35.81424
1378,35.82138
1379,35.82850
1380,35.83563
1381,35.84274
1382,35.84986
1383,35.85696
1384,35.86406
1385,35.87116
1386,35.87825
1387,35.88534
1388,35.89242
1389,35.89949
1390,35.90656
1391,35.91363
1392,35.92069
1393,35.92774
1394,35.93479
1395,35.94183
1396,35.94887
1397,35.95590
1398,35.96293
1399,35.96995
1400,35.97697
1401,35.16824
1402,35.99099
1403,35.99799
1404,36.00498
1405,36.01197
1406,36.01896
1407,36.02594
1408,36.03291
1409,36.03988
1410,36.04685
1411,36.05380
1412,36.06076
1413,36.06770
1414,36.07465
1415,36.08158
1416,36.08851
1417,36.09544
1418,36.10236
1419,36.10928
1420,36.11619
1421,36.12309
1422,36.12999
1423,36.13688
1424,36.14377
1425,36.15065
1426,36.15753
1427,36.16440
1428,36.17127
1429,36.17813
1430,36.18499
1431,36.19184
1432,36.19868
1433,36.20552
1434,36.21236
1435,36.21919
1436,36.22601
1437,36.23283
1438,36.23964
1439,36.24645
1440,36.25325
1441,36.26005
1442,36.26684
1443,36.27362
1444,36.28040
1445,36.28718
1446,36.29395
1447,36.30071
1448,36.30747
1449,36.31422
1450,36.32097
1451,36.32771
1452,36.33445
1453,36.34118
1454,36.34791
1455,36.35463
1456,36.36134
1457,36.36805
1458,36.37475
1459,36.38145
1460,36.38814
1461,36.39483
1462,36.40151
1463,36.40819
1464,36.41486
1465,36.42153
1466,36.42819
1467,36.43484
1468,36.44149
1469,36.44813
1470,36.45477
1471,36.46140
1472,36.46803
1473,36.47465
1474,36.48127
1475,36.48788
1476,36.49448
1477,36.50108
1478,36.50767
1479,36.51426
1480,36.52085
1481,36.52742
1482,36.53399
1483,36.54056
1484,36.54712
1485,36.55368
1486,36.56022
1487,36.56677
1488,36.57331
1489,36.57984
1490,36.58637
1491,36.59289
1492,36.59940
1493,36.60591
1494,36.61242
1495,36.61892
1496,36.62541
1497,36.63190
1498,36.63838
1499,36.64486
1500,36.65133
1501,46.54927
1502,36.66426
1503,36.67071
1504,36.67716
1505,36.68360
1506,36.69004
1507,36.69647
1508,36.70290
1509,36.70932
1510,36.71574
1511,36.72215
1512,36.72855
1513,36.73495
1514,36.74134
1515,36.74773
1516,36.75411
1517,36.76049
1518,36.76686
1519,36.77322
1520,36.77958
1521,36.78594
1522,36.79228
1523,36.79863
1524,36.80496
1525,36.81129
1526,36.81762
1527,36.82394
1528,36.83025
1529,36.83656
1530,36.84286
1531,36.84916
1532,36.85545
1533,36.86174
1534,36.86802
1535,36.87429
1536,36.88056
1537,36.88683
1538,36.89308
1539,36.89933
1540,36.90558
1541,36.91182
1542,36.91806
1543,36.92428
1544,36.93051
1545,36.93672
1546,36.94294
1547,36.94914
1548,36.95534
1549,36.96154
1550,36.96773
1551,36.97391
1552,36.98009
1553,36.98626
1554,36.99243
1555,36.99859
1556,37.00474
1557,37.01089
1558,37.01703
1559,37.02317
1560,37.02930
1561,37.03543
1562,37.04155
1563,37.04766
1564,37.05377
1565,37.05987
1566,37.06597
1567,37.07206
1568,37.07815
1569,37.08423
1570,37.09030
1571,37.09637
1572,37.10244
1573,37.10849
1574,37.11454
1575,37.12059
1576,37.12663
1577,37.13266
1578,37.13869
1579,37.14471
1580,37.15073
1581,37.15674
1582,37.16275
1583,37.16874
1584,37.17474
1585,37.18073
1586,37.18671
1587,37.19268
1588,37.19865
1589,37.20462
1590,37.21058
1591,37.21653
1592,37.22248
1593,37.22842
1594,37.23435
1595,37.24028
1596,37.24621
1597,37.25213
1598,37.25804
1599,37.26394
1600,37.26984
1601,43.29577
1602,37.28163
1603,37.28751
1604,37.29339
1605,37.29926
1606,37.30512
1607,37.31098
1608,37.31684
1609,37.32269
1610,37.32853
1611,37.33436
1612,37.34019
1613,37.34602
1614,37.35184
1615,37.35765
1616,37.36346
1617,37.36926
1618,37.37505
1619,37.38084
1620,37.38663
1621,37.39240
1622,37.39818
1623,37.40394
1624,37.40970
1625,37.41545
1626,37.42120
1627,37.42695
1628,37.43268
1629,37.43841
1630,37.44414
1631,37.44986
1632,37.45557
1633,37.46127
1634,37.46698
1635,37.47267
1636,37.47836
1637,37.48404
1638,37.48972
1639,37.49539
1640,37.50106
1641,37.50672
1642,37.51237
1643,37.51802
1644,37.52366
1645,37.52930
1646,37.53493
1647,37.54055
1648,37.54617
1649,37.55178
1650,37.55739
1651,37.56299
1652,37.56858
1653,37.57417
1654,37.57975
1655,37.58533
1656,37.59090
1657,37.59646
1658,37.60202
1659,37.60757
1660,37.61312
1661,37.61866
1662,37.62419
1663,37.62972
1664,37.63525
1665,37.64076
1666,37.64627
1667,37.65178
1668,37.65728
1669,37.66277
1670,37.66826
1671,37.67374
1672,37.67921
1673,37.68468
1674,37.69014
1675,37.69560
1676,37.70105
1677,37.70650
1678,37.71194
1679,37.71737
1680,37.72279
1681,37.72822
1682,37.73363
1683,37.73904
1684,37.74444
1685,37.74984
1686,37.75523
1687,37.76061
1688,37.76599
1689,37.77137
1690,37.77673
1691,37.78209
1692,37.78745
1693,37.79280
1694,37.79814
1695,37.80348
1696,37.80881
1697,37.81413
1698,37.81945
1699,37.82476
1700,37.83007
1701,36.54321
1702,37.84066
1703,37.84595
1704,37.85123
1705,37.85651
1706,37.86178
1707,37.86704
1708,37.87230
1709,37.87755
1710,37.88280
1711,37.88804
1712,37.89327
1713,37.89850
1714,37.90372
1715,37.90893
1716,37.91414
1717,37.91935
1718,37.92454
1719,37.92973
1720,37.93492
1721,37.94010
1722,37.94527
1723,37.95044
1724,37.95560
1725,37.96075
1726,37.96590
1727,37.97104
1728,37.97618
1729,37.98131
1730,37.98643
1731,37.99155
1732,37.99666
1733,38.00176
1734,38.00686
1735,38.01196
1736,38.01704
1737,38.02213
1738,38.02720
1739,38.03227
1740,38.03733
1741,38.04239
1742,38.04744
1743,38.05248
1744,38.05752
1745,38.06255
1746,38.06758
1747,38.07260
1748,38.07761
1749,38.08262
1750,38.08762
1751,38.09261
1752,38.09760
1753,38.10259
1754,38.10756
1755,38.11253
1756,38.11750
1757,38.12245
1758,38.12741
1759,38.13235
1760,38.13729
1761,38.14222
1762,38.14715
1763,38.15207
1764,38.15699
1765,38.16190
1766,38.16680
1767,38.17170
1768,38.17659
1769,38.18147
1770,38.18635
1771,38.19122
1772,38.19608
1773,38.20094
1774,38.20580
1775,38.21064
1776,38.21548
1777,38.22032
1778,38.22514
1779,38.22997
1780,38.23478
1781,38.23959
1782,38.24440
1783,38.24919
1784,38.25398
1785,38.25877
1786,38.26355
1787,38.26832
1788,38.27308
1789,38.27784
1790,38.28260
1791,38.28734
1792,38.29209
1793,38.29682
1794,38.30155
1795,38.30627
1796,38.31099
1797,38.31570
1798,38.32040
1799,38.32510
1800,38.32979
1801,41.04658
1802,38.33915
1803,38.34382
1804,38.34849
1805,38.35315
1806,38.35780
1807,38.36245
1808,38.36709
1809,38.37173
1810,38.37636
1811,38.38098
1812,38.38559
1813,38.39020
1814,38.39481
1815,38.39940
1816,38.40399
1817,38.40858
1818,38.41316
1819,38.41773
1820,38.42230
1821,38.42685
1822,38.43141
1823,38.43595
1824,38.44050
1825,38.44503
1826,38.44956
1827,38.45408
1828,38.45859
1829,38.46310
1830,38.46761
1831,38.47210
1832,38.47659
1833,38.48108
1834,38.48555
1835,38.49003
1836,38.49449
1837,38.49895
1838,38.50340
1839,38.50785
1840,38.51229
1841,38.51672
1842,38.52115
1843,38.52557
1844,38.52998
1845,38.53439
1846,38.53879
1847,38.54319
1848,38.54758
1849,38.55196
1850,38.55634
1851,38.56071
1852,38.56507
1853,38.56943
1854,38.57378
1855,38.57812
1856,38.58246
1857,38.58679
1858,38.59112
1859,38.59544
1860,38.59975
1861,38.60406
1862,38.60836
1863,38.61265
1864,38.61694
1865,38.62122
1866,38.62549
1867,38.62976
1868,38.63403
1869,38.63828
1870,38.64253
1871,38.64677
1872,38.65101
1873,38.65524
